id ,name     ,species ,breed               ,image_url                                                                                                            ,weight   ,description                                                           ,created_at          ,updated_at
 1 ,Luna     ,Dog     ,Labrador Retriever  ,https://upload.wikimedia.org/wikipedia/commons/2/26/YellowLabradorLooking_new.jpg                                    ,  30.5   ,"Friendly and energetic Labrador, loves to play fetch."               ,2023-07-22 10:00:00 ,2023-07-22 10:00:00
 2 ,Whiskers ,Cat     ,Siamese             ,https://upload.wikimedia.org/wikipedia/commons/2/25/Siam_lilacpoint.jpg                                              ,   4.2   ,"Vocal Siamese cat with striking blue eyes."                          ,2023-07-22 10:05:00 ,2023-07-22 10:05:00
 3 ,Polly    ,Bird    ,African Grey Parrot ,https://upload.wikimedia.org/wikipedia/commons/2/28/Psittacus_erithacus_-perched_on_tray-8d.jpg                      ,   0.45  ,"Intelligent parrot known for its impressive vocabulary."             ,2023-07-22 10:10:00 ,2023-07-22 10:10:00
 4 ,Nemo     ,Fish    ,Clownfish           ,https://upload.wikimedia.org/wikipedia/commons/f/f6/Amphiprion_ocellaris_%28Clown_anemonefish%29_by_Nick_Hobgood.jpg ,   0.01  ,"Vibrant orange clownfish with white stripes."                        ,2023-07-22 10:15:00 ,2023-07-22 10:15:00
 5 ,Rex      ,Dog     ,German Shepherd     ,https://upload.wikimedia.org/wikipedia/commons/d/d0/German_Shepherd_-_DSC_0346_%2810096362833%29.jpg                 ,  38.6   ,"Loyal and protective German Shepherd, excellent guard dog."          ,2023-07-22 10:20:00 ,2023-07-22 10:20:00
 6 ,Mittens  ,Cat     ,Maine Coon          ,https://upload.wikimedia.org/wikipedia/commons/5/5f/Maine_Coon_cat_by_Tomitheos.JPG                                  ,   6.8   ,"Large and fluffy Maine Coon with a gentle temperament."              ,2023-07-22 10:25:00 ,2023-07-22 10:25:00
 7 ,Spike    ,Reptile ,Bearded Dragon      ,https://upload.wikimedia.org/wikipedia/commons/1/18/Bartagame_fcm.jpg                                                ,   0.5   ,"Friendly bearded dragon that enjoys basking under heat lamps."       ,2023-07-22 10:30:00 ,2023-07-22 10:30:00
 8 ,Bubbles  ,Fish    ,Goldfish            ,https://upload.wikimedia.org/wikipedia/commons/a/ae/Katri.jpg                                                        ,   0.03  ,"Orange goldfish with flowing fins."                                  ,2023-07-22 10:35:00 ,2023-07-22 10:35:00
 9 ,Rocky    ,Dog     ,Bulldog             ,https://upload.wikimedia.org/wikipedia/commons/a/a3/Bulldog_adult_male.jpg                                           ,  25.0   ,"Sturdy English Bulldog with a wrinkled face and gentle disposition." ,2023-07-22 10:40:00 ,2023-07-22 10:40:00
10 ,Smokey   ,Cat     ,Russian Blue        ,https://upload.wikimedia.org/wikipedia/commons/0/0c/Russian_Blue_001.gif                                             ,   3.8   ,"Elegant Russian Blue with a silvery-blue coat."                      ,2023-07-22 10:45:00 ,2023-07-22 10:45:00
11 ,Tweety   ,Bird    ,Canary              ,https://upload.wikimedia.org/wikipedia/commons/3/34/Serinus_canaria_-_Funchal.jpg                                    ,   0.025 ,"Yellow canary with a melodious song."                                ,2023-07-22 10:50:00 ,2023-07-22 10:50:00
12 ,Jaws     ,Fish    ,Shark               ,https://upload.wikimedia.org/wikipedia/commons/5/56/White_shark.jpg                                                  , 900.0   ,"Formidable great white shark."                                       ,2023-07-22 10:55:00 ,2023-07-22 10:55:00
13 ,Buddy    ,Dog     ,Golden Retriever    ,https://upload.wikimedia.org/wikipedia/commons/b/bd/Golden_Retriever_Dukedestiny01_drvd.jpg                          ,  32.0   ,"Friendly Golden Retriever, great with children."                     ,2023-07-22 11:00:00 ,2023-07-22 11:00:00
14 ,Oreo     ,Cat     ,Tuxedo              ,https://upload.wikimedia.org/wikipedia/commons/a/a4/Tuxedo_cat.jpg                                                   ,   4.5   ,"Black and white tuxedo cat with a playful personality."              ,2023-07-22 11:05:00 ,2023-07-22 11:05:00
15 ,Kiwi     ,Bird    ,Budgerigar          ,https://upload.wikimedia.org/wikipedia/commons/8/8d/Budgerigar_green_m.jpg                                           ,   0.035 ,"Small, colorful budgie that loves to chatter."                       ,2023-07-22 11:10:00 ,2023-07-22 11:10:00
16 ,Scales   ,Reptile ,Ball Python         ,https://upload.wikimedia.org/wikipedia/commons/7/76/Ball_python_lucy.JPG                                             ,   1.5   ,"Docile ball python with beautiful patterns."                         ,2023-07-22 11:15:00 ,2023-07-22 11:15:00
